dimensao,gbests
vinte,1.44735003357306e-05
vinte,0.00391606463123332
vinte,1.16605161911907e-06
vinte,1.2080592775086
vinte,0.0759227231455817
vinte,0.0354264014951885
vinte,0.00713415866785972
vinte,0.00284507016165927
vinte,4.87225313982336e-06
vinte,1.8030464283689e-05
vinte,2.19386173590348e-09
vinte,0.0719195680564465
vinte,7.09457476766774
vinte,0.0960269824682765
vinte,0.00167704745880367
vinte,0.000418355041362851
vinte,0.000981158838099937
vinte,0.000783614911923992
vinte,0.0260202266381459
vinte,0.0204658231651083
vinte,0.00948485661479637
vinte,0.623181365086367
vinte,0.00554777318770736
vinte,0.107003156761582
vinte,0.0221547407868395
vinte,0.000185491156223789
vinte,0.000959010557250832
vinte,0.0171747610301558
vinte,9.21383737531634e-06
vinte,0.285954932678509
vinte,0.000105332217487287
vinte,6.01214110336383e-06
vinte,0.0224943163943509
vinte,1.39669995179538e-06
vinte,3.69414637336918
vinte,0.00163723852579296
vinte,2.77449504177796e-05
vinte,0.0549818587438734
vinte,8.68385607218327e-06
vinte,2.75168589356812e-06
vinte,0.00673443714820957
vinte,1.6165108952847e-05
vinte,8.47612006756412e-06
vinte,2.04384087099598e-05
vinte,9.58732706576267e-06
vinte,4.77986400320727e-05
vinte,3.6222466173436e-09
vinte,0.0084212448089043
vinte,0.0063743603472055
vinte,0.0517519955303433
vinte,0.000761141998456031
vinte,8.3208939173921e-10
vinte,0.000347865351399984
vinte,0.584277754968246
vinte,0.353880246395448
vinte,5.25273234453788e-09
vinte,5.11990599864877e-08
vinte,0.00415278763271846
vinte,0.164957722439202
vinte,1.75668151502423e-06
vinte,0.00516446919801574
vinte,0.104148659726591
vinte,0.183548747219186
vinte,0.00663701651211992
vinte,0.174127021381065
vinte,4.81405714858117e-05
vinte,0.00582082500666601
vinte,1.38018239264736e-09
vinte,1.61475069572461e-05
vinte,3.4091297487983e-05
vinte,0.000715777537969237
vinte,0.284040518582306
vinte,1.14319438238439
vinte,18.0652066639063
vinte,0.134497988409989
vinte,0.0134886724273216
vinte,5.24214376511704e-06
vinte,0.0528252014209059
vinte,6.08730736420607e-05
vinte,0.0110497291665413
vinte,0.000806843984091673
vinte,0.0449777127987552
vinte,2.80670228303238e-07
vinte,1.68174843646912e-07
vinte,3.13698722776741
vinte,0.0673085118826738
vinte,8.01902460724055e-07
vinte,0.0706364123385946
vinte,0.0289976668922634
vinte,0.00810621783106364
vinte,0.00926266294247145
vinte,9.07194271085847e-11
vinte,0.237432104817316
vinte,0.0376221749959853
vinte,8.3170470176871e-06
vinte,6.45091189048704e-06
vinte,9.23415462071659e-05
vinte,0.0333074193952605
vinte,2.4469006381921
vinte,6.88619454614336e-09
vinte,4.23188762111504e-09
vinte,5.86226003648024e-05
vinte,0.00041387719825629
vinte,0.00032098966101714
vinte,0.67996835594819
vinte,0.00150522695768014
vinte,0.000141493359134089
